,Distance,Player,Hole,P_avg,H_avg,Constant,Error
0,267.21565804206097,Player 43,Hole 62,-5.864315395643514,4.544624629860849,295,-26.46465119215632
1,289.65962934939296,Player 31,Hole 39,-2.030352830169996,8.511303118159002,295,-11.821320938596042
2,282.80275655441704,Player 43,Hole 36,-5.864315395643514,8.736566330173797,295,-15.069494380113227
3,304.6657877691798,Player 40,Hole 55,-4.542251463307521,6.317961412608311,295,7.890077819879017
4,318.55224371795765,Player 48,Hole 20,-11.174185170290416,13.46631169175723,295,21.260117196490775
5,325.8660912027405,Player 26,Hole 14,-0.6320362935149602,14.837089693143234,295,16.661037803112183
6,309.0401074957592,Player 34,Hole 7,-2.414394365066406,17.607068061007787,295,-1.1525662001822075
7,311.5803044563635,Player 38,Hole 62,-3.4398556340511304,4.544624629860849,295,15.475535460553749
8,301.1686232569648,Player 33,Hole 33,-2.154195455956526,9.01545393551489,295,-0.6926352225935342
9,307.4094761036968,Player 25,Hole 20,-0.29459728378061223,13.46631169175723,295,-0.762238304279824
10,323.0010208374253,Player 28,Hole 6,-1.057205242419734,18.777055941761766,295,10.281170138083267
11,309.6549392117259,Player 35,Hole 21,-2.5895806212434813,13.017182040816914,295,4.227337792152442
12,317.62649305375425,Player 35,Hole 5,-2.5895806212434813,19.62442369940922,295,5.591649975588512
13,300.55265685838,Player 47,Hole 31,-8.360809836867077,9.788993296181394,295,4.124473399065681
14,309.72717922876956,Player 29,Hole 23,-1.4201274802042212,12.220038694895907,295,3.927268014077883
15,298.397566008503,Player 29,Hole 59,-1.4201274802042212,5.147422039231633,295,-0.3297285505244115
16,320.9611346242391,Player 28,Hole 18,-1.057205242419734,14.167532495438287,295,12.850807371220503
17,298.8094650503332,Player 48,Hole 65,-11.174185170290416,4.0980820426183655,295,10.885568178005212
18,299.16396343845514,Player 47,Hole 6,-8.360809836867077,18.777055941761766,295,-6.2522826664395295
19,321.2313955772094,Player 34,Hole 7,-2.414394365066406,17.607068061007787,295,11.038721881268035
20,309.4223446629059,Player 35,Hole 33,-2.5895806212434813,9.01545393551489,295,7.996471348634566
21,300.3624997079048,Player 28,Hole 32,-1.057205242419734,9.622657455672114,295,-3.2029525053475587
22,303.19311113848744,Player 49,Hole 35,-13.865286351972633,8.811612115074931,295,13.246785375385151
23,289.7384400837506,Player 27,Hole 32,-0.8270816545079758,9.622657455672114,295,-14.057135717413543
24,293.37941861603986,Player 37,Hole 50,-3.2450071496714425,6.707237575363312,295,-5.082811809651999
25,307.06984120229714,Player 30,Hole 24,-1.531832336830913,12.048960016449273,295,1.5527135226787756
26,309.90296521564676,Player 31,Hole 27,-2.030352830169996,11.145745081356814,295,5.787572964459919
27,295.69844608444845,Player 43,Hole 39,-5.864315395643514,8.511303118159002,295,-1.9485416380670009
28,310.5319316323388,Player 39,Hole 16,-3.9149965088880085,14.312281069284102,295,5.134647071942693
29,285.3210405074079,Player 34,Hole 65,-2.414394365066406,4.0980820426183655,295,-11.36264717014408
30,277.97556170616434,Player 43,Hole 37,-5.864315395643514,8.658769472631336,295,-19.818892370823423
31,302.5300926466629,Player 26,Hole 45,-0.6320362935149602,7.600644510257812,295,0.5614844299200563
32,298.6961157741291,Player 32,Hole 6,-2.106486827725951,18.777055941761766,295,-12.974453339906702
33,308.1403335186553,Player 43,Hole 34,-5.864315395643514,8.876367669881514,295,10.128281244417316
34,310.7534362788987,Player 46,Hole 17,-6.599680054331648,14.1872936715019,295,8.165822661728464
35,302.70166952977087,Player 41,Hole 29,-5.1932610746555055,10.65922530500419,295,2.235705299422137
36,306.87550592748914,Player 48,Hole 22,-11.174185170290416,12.370797349314874,295,10.678893748464644
37,303.2578307537555,Player 26,Hole 64,-0.6320362935149602,4.113560022401826,295,4.776307024868608
38,322.91571665810847,Player 43,Hole 0,-5.864315395643514,31.95879116560027,295,1.8212408881517663
39,297.0610533918496,Player 29,Hole 63,-1.4201274802042212,4.51661942291933,295,-1.0354385508655368
40,303.0415072164421,Player 32,Hole 16,-2.106486827725951,14.312281069284102,295,-4.164287025116045
41,316.67392732812954,Player 43,Hole 11,-5.864315395643514,15.48866171252053,295,12.04958101125256
42,280.15180454141046,Player 32,Hole 54,-2.106486827725951,6.420377230543066,295,-19.16208586140661
43,303.87173034432345,Player 40,Hole 2,-4.542251463307521,21.91553338480974,295,-8.501551577178763
44,293.53540730124473,Player 47,Hole 6,-8.360809836867077,18.777055941761766,295,-11.880838803649956
45,297.9230846623417,Player 34,Hole 32,-2.414394365066406,9.622657455672114,295,-4.285178428264035
46,315.76394281305573,Player 33,Hole 31,-2.154195455956526,9.788993296181394,295,13.12914497283089
47,315.4690578685031,Player 41,Hole 30,-5.1932610746555055,9.835133228906018,295,15.827185714252565
48,279.0354567798802,Player 47,Hole 42,-8.360809836867077,7.794628177461739,295,-15.398361560714486
49,317.0647235088316,Player 40,Hole 0,-4.542251463307521,31.95879116560027,295,-5.351816193461109
50,303.7090503419829,Player 34,Hole 22,-2.414394365066406,12.370797349314874,295,-1.2473526422655887
51,289.0452851201103,Player 42,Hole 25,-5.373515525240844,11.949345080225129,295,-12.530544434873958
52,301.04760920244445,Player 48,Hole 47,-11.174185170290416,7.18678877739361,295,10.035005595341266
53,300.38028187279326,Player 42,Hole 21,-5.373515525240844,13.017182040816914,295,-2.263384642782813
54,289.91201111955985,Player 42,Hole 21,-5.373515525240844,13.017182040816914,295,-12.73165539601623
55,281.2634303881497,Player 28,Hole 54,-1.057205242419734,6.420377230543066,295,-19.099741599973626
56,293.5732253663013,Player 34,Hole 61,-2.414394365066406,4.567686607325319,295,-3.580066875957562
57,290.42183771658136,Player 30,Hole 66,-1.531832336830913,4.037016767163425,295,-7.0833467137511334
58,296.1766292450476,Player 33,Hole 56,-2.154195455956526,5.971081805947281,295,-2.640257104943138
59,307.7310916586221,Player 46,Hole 63,-6.599680054331648,4.51661942291933,295,14.814152290034418
60,295.1557420597205,Player 49,Hole 31,-13.865286351972633,9.788993296181394,295,4.232035115511798
61,302.08242228746207,Player 41,Hole 23,-5.1932610746555055,12.220038694895907,295,0.05564466722165977
62,294.1031477077002,Player 45,Hole 38,-6.532505944392145,8.61170432594373,295,-2.976050673851367
63,295.5044888234751,Player 33,Hole 42,-2.154195455956526,7.794628177461739,295,-5.135943898030048
64,286.6519476298464,Player 31,Hole 48,-2.030352830169996,6.964008475335288,295,-13.281708015318898
65,293.2637904934902,Player 31,Hole 16,-2.030352830169996,14.312281069284102,295,-14.018137745623893
66,290.99612277074976,Player 48,Hole 30,-11.174185170290416,9.835133228906018,295,-2.664825287865855
67,295.3453173414579,Player 45,Hole 3,-6.532505944392145,21.200362456978546,295,-14.322539171128462
68,313.1875959751762,Player 40,Hole 9,-4.542251463307521,16.98629242604182,295,5.743555012441882
69,297.77174571729546,Player 46,Hole 60,-6.599680054331648,4.6290784359156065,295,4.7423473357115045
70,295.2254339330961,Player 38,Hole 63,-3.4398556340511304,4.51661942291933,295,-0.8513298557721349
71,294.8839071936974,Player 40,Hole 44,-4.542251463307521,7.757517667500612,295,-3.331359010495691
72,312.4091743845165,Player 37,Hole 13,-3.2450071496714425,15.10331076769356,295,5.550870766494348
73,307.2962543123291,Player 34,Hole 42,-2.414394365066406,7.794628177461739,295,6.916020499933766
74,302.378856533062,Player 41,Hole 35,-5.1932610746555055,8.811612115074931,295,3.7605054926425634
75,308.9366651759801,Player 28,Hole 26,-1.057205242419734,11.710123348617927,295,3.2837470697819797
76,301.67675440303844,Player 33,Hole 53,-2.154195455956526,6.478530384824367,295,2.352419474170653
77,290.56861267369624,Player 29,Hole 9,-1.4201274802042212,16.98629242604182,295,-19.997552272141384
78,302.03327733925954,Player 26,Hole 33,-0.6320362935149602,9.01545393551489,295,-1.3501403027403698
79,293.79134304448246,Player 49,Hole 50,-13.865286351972633,6.707237575363312,295,5.949391821091785
80,311.89159161889637,Player 31,Hole 34,-2.030352830169996,8.876367669881514,295,10.045576779184826
81,332.16088696917564,Player 29,Hole 39,-1.4201274802042212,8.511303118159002,295,30.069711331220873
82,305.71053454421474,Player 25,Hole 24,-0.29459728378061223,12.048960016449273,295,-1.043828188453907
83,308.63824096794576,Player 28,Hole 14,-1.057205242419734,14.837089693143234,295,-0.14164348277774308
84,301.73985804372984,Player 44,Hole 16,-6.365905076218101,14.312281069284102,295,-1.2065179493361584
85,302.1483063347675,Player 41,Hole 60,-5.1932610746555055,4.6290784359156065,295,7.712488973507358
86,286.7193797957456,Player 32,Hole 21,-2.106486827725951,13.017182040816914,295,-19.191315417345315
87,302.4499821350528,Player 26,Hole 24,-0.6320362935149602,12.048960016449273,295,-3.9669415878815357
88,322.4027732630261,Player 39,Hole 14,-3.9149965088880085,14.837089693143234,295,16.480680078770888
89,304.4032481142156,Player 25,Hole 18,-0.29459728378061223,14.167532495438287,295,-4.469687097442064
90,291.9605621509942,Player 31,Hole 15,-2.030352830169996,14.314571628649514,295,-15.323656647485354
91,321.1929315159157,Player 36,Hole 18,-2.639030064671931,14.167532495438287,295,14.664429085149319
92,305.5676318380888,Player 41,Hole 1,-5.1932610746555055,24.07854999776597,295,-8.317657085021692
93,303.46105121496606,Player 47,Hole 65,-8.360809836867077,4.0980820426183655,295,12.723779009214729
94,289.63511827547865,Player 39,Hole 35,-3.9149965088880085,8.811612115074931,295,-10.261497330708252
95,311.8786731044039,Player 25,Hole 6,-0.29459728378061223,18.777055941761766,295,-1.6037855535772443
96,325.5869882892826,Player 44,Hole 60,-6.365905076218101,4.6290784359156065,295,32.32381492958505
97,283.5276948116942,Player 33,Hole 51,-2.154195455956526,6.674486309200692,295,-15.99259604154996
98,323.2175884779525,Player 28,Hole 16,-1.057205242419734,14.312281069284102,295,14.962512651088147
99,306.4794498620158,Player 46,Hole 59,-6.599680054331648,5.147422039231633,295,12.931707877115844
100,314.22783182277897,Player 36,Hole 3,-2.639030064671931,21.200362456978546,295,0.6664994304723715
101,304.1344604589731,Player 25,Hole 12,-0.29459728378061223,15.262610755824007,295,-5.833553013070326
102,314.0433396166175,Player 35,Hole 51,-2.5895806212434813,6.674486309200692,295,14.958433928660341
103,299.3539849091845,Player 43,Hole 38,-5.864315395643514,8.61170432594373,295,1.6065959788843107
104,289.1444515496887,Player 46,Hole 38,-6.599680054331648,8.61170432594373,295,-7.867572721923368
105,305.00280969525596,Player 46,Hole 39,-6.599680054331648,8.511303118159002,295,8.091186631428647
106,313.3353135833246,Player 46,Hole 29,-6.599680054331648,10.65922530500419,295,14.275768332652042
107,298.3653233713689,Player 27,Hole 27,-0.8270816545079758,11.145745081356814,295,-6.953340055479926
108,288.0128911484206,Player 48,Hole 60,-11.174185170290416,4.6290784359156065,295,-0.44200211720467475
109,318.33830000952105,Player 47,Hole 36,-8.360809836867077,8.736566330173797,295,22.962543516214353
110,280.21930675543257,Player 42,Hole 26,-5.373515525240844,11.710123348617927,295,-21.11730106794446
111,311.5465625950208,Player 40,Hole 2,-4.542251463307521,21.91553338480974,295,-0.8267193264813968
112,315.2742554192532,Player 26,Hole 27,-0.6320362935149602,11.145745081356814,295,9.760546631411357
113,306.4060989776237,Player 36,Hole 54,-2.639030064671931,6.420377230543066,295,7.624751811752554
